image,damage_id,damage_type,damage_name_ko,pixel_nodes_json,world_center_x_m,world_center_y_m,world_center_z_m,length_px,length_m,width_px,width_m,area_m2,source_image_path,tile_original_paths_json,tile_overlay_paths_json
DJI_20250702150745_0300_V.JPG,D000001,CRC,균열,"[[997.0,148.5],[996.0,148.5],[995.0,148.5],[994.0,148.5],[993.0,148.5],[992.0,148.5],[991.0,148.5],[990.0,148.5],[989.0,148.5],[988.0,148.5],[987.0,148.5],[986.0,148.5],[985.0,148.5],[984.0,148.5],[983.0,148.5],[982.0,148.5],[981.0,148.5],[980.0,148.5],[979.0,148.5],[978.0,148.5],[977.0,148.5],[976.0,148.5],[975.0,148.5],[974.0,148.5],[973.0,148.5],[972.0,148.5],[971.5,148.0],[972.0,147.5],[973.0,147.5],[974.0,147.5],[975.0,147.5],[976.0,147.5],[977.0,147.5],[978.0,147.5],[979.0,147.5],[980.0,147.5],[981.0,147.5],[982.0,147.5],[983.0,147.5],[984.0,147.5],[985.0,147.5],[986.0,147.5],[987.0,147.5],[988.0,147.5],[989.0,147.5],[990.0,147.5],[991.0,147.5],[992.0,147.5],[993.0,147.5],[994.0,147.5],[995.0,147.5],[996.0,147.5],[997.0,147.5],[997.5,148.0],[997.0,148.5]]",243083.08659744,431111.06099701,80.10286474,126.356632,0.66184848,6.37662,0.03879219,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x00512_y00000.png"",""512원본타일/DJI_20250702150745_0300_V__x01024_y00000.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x00512_y00000.png"",""512라벨오버레이/DJI_20250702150745_0300_V__x01024_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000002,CRC,균열,"[[4698.0,386.5],[4697.0,386.5],[4696.0,386.5],[4695.0,386.5],[4694.0,386.5],[4693.0,386.5],[4692.0,386.5],[4691.0,386.5],[4690.0,386.5],[4689.0,386.5],[4688.0,386.5],[4687.0,386.5],[4686.0,386.5],[4685.0,386.5],[4684.0,386.5],[4683.0,386.5],[4682.0,386.5],[4681.0,386.5],[4680.0,386.5],[4679.0,386.5],[4678.0,386.5],[4677.5,386.0],[4678.0,385.5],[4679.0,385.5],[4680.0,385.5],[4681.0,385.5],[4682.0,385.5],[4683.0,385.5],[4684.0,385.5],[4685.0,385.5],[4686.0,385.5],[4687.0,385.5],[4688.0,385.5],[4689.0,385.5],[4690.0,385.5],[4691.0,385.5],[4692.0,385.5],[4693.0,385.5],[4694.0,385.5],[4695.0,385.5],[4696.0,385.5],[4697.0,385.5],[4698.0,385.5],[4698.5,386.0],[4698.0,386.5]]",243098.5462532,431089.6038208,82.63678122,294.482029,2.12659899,15.474935,0.22205777,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x04608_y00000.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x04608_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000003,CRC,균열,"[[4296.0,471.5],[4295.0,471.5],[4294.0,471.5],[4293.0,471.5],[4292.0,471.5],[4291.0,471.5],[4290.0,471.5],[4289.0,471.5],[4288.0,471.5],[4287.0,471.5],[4286.0,471.5],[4285.0,471.5],[4284.0,471.5],[4283.0,471.5],[4282.0,471.5],[4281.0,471.5],[4280.0,471.5],[4279.0,471.5],[4278.0,471.5],[4277.0,471.5],[4276.0,471.5],[4275.5,471.0],[4276.0,470.5],[4277.0,470.5],[4278.0,470.5],[4279.0,470.5],[4280.0,470.5],[4281.0,470.5],[4282.0,470.5],[4283.0,470.5],[4284.0,470.5],[4285.0,470.5],[4286.0,470.5],[4287.0,470.5],[4288.0,470.5],[4289.0,470.5],[4290.0,470.5],[4291.0,470.5],[4292.0,470.5],[4293.0,470.5],[4294.0,470.5],[4295.0,470.5],[4296.0,470.5],[4296.5,471.0],[4296.0,471.5]]",243081.48151398,431095.3339386,75.92466021,146.597848,,15.231133,,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x04096_y00000.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x04096_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000004,CRC,균열,"[[2552.0,699.5],[2551.5,699.0],[2551.5,698.0],[2551.5,697.0],[2551.5,696.0],[2551.5,695.0],[2551.5,694.0],[2551.5,693.0],[2551.5,692.0],[2551.5,691.0],[2551.5,690.0],[2551.5,689.0],[2551.5,688.0],[2551.5,687.0],[2551.5,686.0],[2551.5,685.0],[2551.5,684.0],[2551.5,683.0],[2551.5,682.0],[2551.5,681.0],[2551.5,680.0],[2552.0,679.5],[2552.5,680.0],[2552.5,681.0],[2552.5,682.0],[2552.5,683.0],[2552.5,684.0],[2552.5,685.0],[2552.5,686.0],[2552.5,687.0],[2552.5,688.0],[2552.5,689.0],[2552.5,690.0],[2552.5,691.0],[2552.5,692.0],[2552.5,693.0],[2552.5,694.0],[2552.5,695.0],[2552.5,696.0],[2552.5,697.0],[2552.5,698.0],[2552.5,699.0],[2552.0,699.5]]",243092.29362488,431105.5066452,80.24168825,151.099372,2.31006404,7.51247,0.05677864,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y00512.png"",""512원본타일/DJI_20250702150745_0300_V__x02560_y00512.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x02048_y00512.png"",""512라벨오버레이/DJI_20250702150745_0300_V__x02560_y00512.png""]"
DJI_20250702150745_0300_V.JPG,D000005,CRC,균열,"[[2552.0,761.5],[2551.5,761.0],[2551.5,760.0],[2551.5,759.0],[2551.5,758.0],[2551.5,757.0],[2551.5,756.0],[2551.5,755.0],[2551.5,754.0],[2551.5,753.0],[2551.5,752.0],[2551.5,751.0],[2551.5,750.0],[2551.5,749.0],[2551.5,748.0],[2551.5,747.0],[2551.5,746.0],[2551.5,745.0],[2551.5,744.0],[2551.5,743.0],[2551.5,742.0],[2551.5,741.0],[2551.5,740.0],[2551.5,739.0],[2551.5,738.0],[2551.5,737.0],[2551.5,736.0],[2551.5,735.0],[2551.5,734.0],[2551.5,733.0],[2551.5,732.0],[2551.5,731.0],[2551.5,730.0],[2551.5,729.0],[2551.5,728.0],[2551.5,727.0],[2551.5,726.0],[2551.5,725.0],[2551.5,724.0],[2551.5,723.0],[2552.0,722.5],[2552.5,723.0],[2552.5,724.0],[2552.5,725.0],[2552.5,726.0],[2552.5,727.0],[2552.5,728.0],[2552.5,729.0],[2552.5,730.0],[2552.5,731.0],[2552.5,732.0],[2552.5,733.0],[2552.5,734.0],[2552.5,735.0],[2552.5,736.0],[2552.5,737.0],[2552.5,738.0],[2552.5,739.0],[2552.5,740.0],[2552.5,741.0],[2552.5,742.0],[2552.5,743.0],[2552.5,744.0],[2552.5,745.0],[2552.5,746.0],[2552.5,747.0],[2552.5,748.0],[2552.5,749.0],[2552.5,750.0],[2552.5,751.0],[2552.5,752.0],[2552.5,753.0],[2552.5,754.0],[2552.5,755.0],[2552.5,756.0],[2552.5,757.0],[2552.5,758.0],[2552.5,759.0],[2552.5,760.0],[2552.5,761.0],[2552.0,761.5]]",243091.05170441,431105.13913727,78.86664247,112.009106,1.56068469,4.830281,0.03368544,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y00512.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x02048_y00512.png""]"
DJI_20250702150745_0300_V.JPG,D000006,CRC,균열,"[[4302.0,798.5],[4301.0,798.5],[4300.0,798.5],[4299.0,798.5],[4298.0,798.5],[4297.0,798.5],[4296.0,798.5],[4295.0,798.5],[4294.0,798.5],[4293.0,798.5],[4292.0,798.5],[4291.0,798.5],[4290.0,798.5],[4289.0,798.5],[4288.0,798.5],[4287.0,798.5],[4286.0,798.5],[4285.0,798.5],[4284.0,798.5],[4283.0,798.5],[4282.0,798.5],[4281.5,798.0],[4282.0,797.5],[4283.0,797.5],[4284.0,797.5],[4285.0,797.5],[4286.0,797.5],[4287.0,797.5],[4288.0,797.5],[4289.0,797.5],[4290.0,797.5],[4291.0,797.5],[4292.0,797.5],[4293.0,797.5],[4294.0,797.5],[4295.0,797.5],[4296.0,797.5],[4297.0,797.5],[4298.0,797.5],[4299.0,797.5],[4300.0,797.5],[4301.0,797.5],[4302.0,797.5],[4302.5,798.0],[4302.0,798.5]]",243080.4749279,431095.61896515,74.41637659,118.735373,0.42878809,19.006578,0.06494252,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x04096_y00512.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x04096_y00512.png""]"
DJI_20250702150745_0300_V.JPG,D000007,CRC,균열,"[[2547.0,916.5],[2546.5,916.0],[2546.5,915.0],[2546.5,914.0],[2546.5,913.0],[2546.5,912.0],[2546.5,911.0],[2546.5,910.0],[2546.5,909.0],[2546.5,908.0],[2546.5,907.0],[2546.5,906.0],[2546.5,905.0],[2546.5,904.0],[2546.5,903.0],[2546.5,902.0],[2547.0,901.5],[2547.5,902.0],[2547.5,903.0],[2547.5,904.0],[2547.5,905.0],[2547.5,906.0],[2547.5,907.0],[2547.5,908.0],[2547.5,909.0],[2547.5,910.0],[2547.5,911.0],[2547.5,912.0],[2547.5,913.0],[2547.5,914.0],[2547.5,915.0],[2547.5,916.0],[2547.0,916.5]]",243090.10210609,431104.89740753,77.8033576,111.125443,1.45915502,6.20546,0.04105166,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y00512.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x02048_y00512.png""]"
DJI_20250702150745_0300_V.JPG,D000008,CRC,균열,"[[1750.0,872.5],[1749.0,872.5],[1748.0,872.5],[1747.0,872.5],[1746.0,872.5],[1745.0,872.5],[1744.0,872.5],[1743.0,872.5],[1742.0,872.5],[1741.0,872.5],[1740.0,872.5],[1739.5,872.0],[1740.0,871.5],[1741.0,871.5],[1742.0,871.5],[1743.0,871.5],[1744.0,871.5],[1745.0,871.5],[1746.0,871.5],[1747.0,871.5],[1748.0,871.5],[1749.0,871.5],[1750.0,871.5],[1750.5,872.0],[1750.0,872.5]]",243088.21907425,431109.51615906,77.78022861,94.884165,1.97180767,10.074806,0.10205511,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x01536_y00512.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x01536_y00512.png""]"
DJI_20250702150745_0300_V.JPG,D000009,CRC,균열,"[[2512.0,870.5],[2511.0,870.5],[2510.0,870.5],[2509.0,870.5],[2508.0,870.5],[2507.0,870.5],[2506.0,870.5],[2505.0,870.5],[2504.0,870.5],[2503.0,870.5],[2502.0,870.5],[2501.0,870.5],[2500.0,870.5],[2499.0,870.5],[2498.0,870.5],[2497.0,870.5],[2496.0,870.5],[2495.5,870.0],[2496.0,869.5],[2497.0,869.5],[2498.0,869.5],[2499.0,869.5],[2500.0,869.5],[2501.0,869.5],[2502.0,869.5],[2503.0,869.5],[2504.0,869.5],[2505.0,869.5],[2506.0,869.5],[2507.0,869.5],[2508.0,869.5],[2509.0,869.5],[2510.0,869.5],[2511.0,869.5],[2512.0,869.5]]",243089.87867928,431105.42810059,77.77710581,112.1341,0.74965877,7.213367,0.10135062,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y00512.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x02048_y00512.png""]"
DJI_20250702150745_0300_V.JPG,D000010,CRC,균열,"[[4221.0,920.5],[4220.0,920.5],[4219.0,920.5],[4218.5,920.0],[4219.0,919.5],[4220.0,919.5],[4221.0,919.5],[4221.5,920.0],[4221.0,920.5]]",243079.71562767,431095.94654846,73.76495671,104.360964,0.44252508,4.848053,0.01634179,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x04096_y00512.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x04096_y00512.png""]"
