damage_id,damage_type,status,xyz_valid,image
D000002,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000003,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000008,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000009,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000010,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000011,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000012,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000014,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000015,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000017,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000018,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000019,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000020,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000021,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000022,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000023,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000024,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000025,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000026,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000027,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000028,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000029,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000030,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000031,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000033,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000034,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000035,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000036,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000037,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000038,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000039,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000040,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000041,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000042,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000043,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000044,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000045,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000046,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000049,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000050,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000051,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000052,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000053,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000054,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000055,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000056,CRC,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000060,DLM,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000061,DLM,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000064,DLM,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000065,DLM,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000070,SPL,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000071,SPL,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000072,SPL,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000073,SPL,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000074,SPL,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000077,SPL,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000078,SPL,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000080,SPL,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000081,SPL,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000083,SPL,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000087,SPL,EXCLUDE,True,DJI_20250702150745_0300_V.JPG
D000090,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000091,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000093,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000094,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000095,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000099,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000100,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000101,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000102,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000103,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000104,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000105,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000106,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000108,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000109,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000110,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000111,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000112,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000113,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000114,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000115,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000116,CRC,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000117,DLM,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000119,DLM,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000123,DLM,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000125,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000127,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000130,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000131,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000132,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000133,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000134,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000137,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000138,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000139,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000140,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000141,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000142,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000143,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000144,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000145,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000146,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000147,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000149,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000150,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000152,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000154,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000156,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000157,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000158,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000159,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000160,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000161,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000162,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000163,SPL,EXCLUDE,True,DJI_20250702151015_0500_V.JPG
D000164,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000165,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000166,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000167,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000168,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000171,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000172,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000173,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000174,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000175,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000176,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000177,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000178,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000179,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000180,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000181,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000182,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000183,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000184,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000185,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000186,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000187,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000188,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000189,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000190,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000191,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000192,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000193,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000194,CRC,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000202,SPL,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000203,SPL,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000204,SPL,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000205,SPL,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000207,SPL,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000208,SPL,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000210,SPL,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000213,SPL,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000214,SPL,EXCLUDE,True,DJI_20250702160538_0800_V.JPG
D000215,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000217,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000218,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000219,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000220,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000221,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000222,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000223,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000224,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000225,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000226,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000227,CRC,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000230,DLM,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000231,DLM,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000232,DLM,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
D000233,DLM,EXCLUDE,True,DJI_20250702160658_0900_V.JPG
