damage_id,damage_type,status,xyz_valid,image
D000001,CRC,KEEP,True,DJI_20250702150745_0300_V.JPG
D000004,CRC,KEEP,True,DJI_20250702150745_0300_V.JPG
D000005,CRC,KEEP,True,DJI_20250702150745_0300_V.JPG
D000006,CRC,KEEP,True,DJI_20250702150745_0300_V.JPG
D000007,CRC,KEEP,True,DJI_20250702150745_0300_V.JPG
D000013,CRC,KEEP,True,DJI_20250702150745_0300_V.JPG
D000016,CRC,KEEP,True,DJI_20250702150745_0300_V.JPG
D000032,CRC,KEEP,True,DJI_20250702150745_0300_V.JPG
D000047,CRC,KEEP,True,DJI_20250702150745_0300_V.JPG
D000048,CRC,KEEP,True,DJI_20250702150745_0300_V.JPG
D000057,DLM,KEEP,True,DJI_20250702150745_0300_V.JPG
D000058,DLM,KEEP,True,DJI_20250702150745_0300_V.JPG
D000059,DLM,KEEP,True,DJI_20250702150745_0300_V.JPG
D000062,DLM,KEEP,True,DJI_20250702150745_0300_V.JPG
D000063,DLM,KEEP,True,DJI_20250702150745_0300_V.JPG
D000066,SPL,KEEP,True,DJI_20250702150745_0300_V.JPG
D000067,SPL,KEEP,True,DJI_20250702150745_0300_V.JPG
D000068,SPL,KEEP,True,DJI_20250702150745_0300_V.JPG
D000069,SPL,KEEP,True,DJI_20250702150745_0300_V.JPG
D000075,SPL,KEEP,True,DJI_20250702150745_0300_V.JPG
D000076,SPL,KEEP,True,DJI_20250702150745_0300_V.JPG
D000079,SPL,KEEP,True,DJI_20250702150745_0300_V.JPG
D000082,SPL,KEEP,True,DJI_20250702150745_0300_V.JPG
D000084,SPL,KEEP,True,DJI_20250702150745_0300_V.JPG
D000085,SPL,KEEP,True,DJI_20250702150745_0300_V.JPG
D000086,SPL,KEEP,True,DJI_20250702150745_0300_V.JPG
D000088,CRC,KEEP,True,DJI_20250702151015_0500_V.JPG
D000089,CRC,KEEP,True,DJI_20250702151015_0500_V.JPG
D000092,CRC,KEEP,True,DJI_20250702151015_0500_V.JPG
D000096,CRC,KEEP,True,DJI_20250702151015_0500_V.JPG
D000097,CRC,KEEP,True,DJI_20250702151015_0500_V.JPG
D000098,CRC,KEEP,True,DJI_20250702151015_0500_V.JPG
D000107,CRC,KEEP,True,DJI_20250702151015_0500_V.JPG
D000118,DLM,KEEP,True,DJI_20250702151015_0500_V.JPG
D000120,DLM,KEEP,True,DJI_20250702151015_0500_V.JPG
D000121,DLM,KEEP,True,DJI_20250702151015_0500_V.JPG
D000122,DLM,KEEP,True,DJI_20250702151015_0500_V.JPG
D000124,SPL,KEEP,True,DJI_20250702151015_0500_V.JPG
D000126,SPL,KEEP,True,DJI_20250702151015_0500_V.JPG
D000128,SPL,KEEP,True,DJI_20250702151015_0500_V.JPG
D000129,SPL,KEEP,True,DJI_20250702151015_0500_V.JPG
D000135,SPL,KEEP,True,DJI_20250702151015_0500_V.JPG
D000136,SPL,KEEP,True,DJI_20250702151015_0500_V.JPG
D000148,SPL,KEEP,True,DJI_20250702151015_0500_V.JPG
D000151,SPL,KEEP,True,DJI_20250702151015_0500_V.JPG
D000153,SPL,KEEP,True,DJI_20250702151015_0500_V.JPG
D000155,SPL,KEEP,True,DJI_20250702151015_0500_V.JPG
D000169,CRC,KEEP,True,DJI_20250702160538_0800_V.JPG
D000170,CRC,KEEP,True,DJI_20250702160538_0800_V.JPG
D000195,DLM,KEEP,True,DJI_20250702160538_0800_V.JPG
D000196,DLM,KEEP,True,DJI_20250702160538_0800_V.JPG
D000197,DLM,KEEP,True,DJI_20250702160538_0800_V.JPG
D000198,DLM,KEEP,True,DJI_20250702160538_0800_V.JPG
D000199,DLM,KEEP,True,DJI_20250702160538_0800_V.JPG
D000200,DLM,KEEP,True,DJI_20250702160538_0800_V.JPG
D000201,DLM,KEEP,True,DJI_20250702160538_0800_V.JPG
D000206,SPL,KEEP,True,DJI_20250702160538_0800_V.JPG
D000209,SPL,KEEP,True,DJI_20250702160538_0800_V.JPG
D000211,SPL,KEEP,True,DJI_20250702160538_0800_V.JPG
D000212,SPL,KEEP,True,DJI_20250702160538_0800_V.JPG
D000216,CRC,KEEP,True,DJI_20250702160658_0900_V.JPG
D000228,DLM,KEEP,True,DJI_20250702160658_0900_V.JPG
D000229,DLM,KEEP,True,DJI_20250702160658_0900_V.JPG
D000234,DLM,KEEP,True,DJI_20250702160658_0900_V.JPG
D000235,SPL,KEEP,True,DJI_20250702160658_0900_V.JPG
D000241,SPL,KEEP,True,DJI_20250702160658_0900_V.JPG
D000267,SPL,KEEP,True,DJI_20250702164518_0050_V.JPG
D000268,CRC,KEEP,True,DJI_20250702165251_0480_V.JPG
D000284,DLM,KEEP,True,DJI_20250702165251_0480_V.JPG
D000285,CRC,KEEP,True,DJI_20260826093331_0020_V.JPG
D000286,CRC,KEEP,True,DJI_20260826093331_0020_V.JPG
D000295,CRC,KEEP,True,DJI_20260826093331_0020_V.JPG
D000297,CRC,KEEP,True,DJI_20260826093331_0020_V.JPG
D000302,DLM,KEEP,True,DJI_20260826093331_0020_V.JPG
D000303,DLM,KEEP,True,DJI_20260826093331_0020_V.JPG
D000304,SPL,KEEP,True,DJI_20260826093331_0020_V.JPG
D000305,SPL,KEEP,True,DJI_20260826093331_0020_V.JPG
D000306,SPL,KEEP,True,DJI_20260826093331_0020_V.JPG
D000307,SPL,KEEP,True,DJI_20260826093331_0020_V.JPG
D000308,SPL,KEEP,True,DJI_20260826093331_0020_V.JPG
D000309,SPL,KEEP,True,DJI_20260826093331_0020_V.JPG
D000310,SPL,KEEP,True,DJI_20260826093331_0020_V.JPG
D000311,CRC,KEEP,True,DJI_20260826094118_0100_V.JPG
D000314,CRC,KEEP,True,DJI_20260826094118_0100_V.JPG
D000315,CRC,KEEP,True,DJI_20260826094118_0100_V.JPG
D000317,DLM,KEEP,True,DJI_20260826094118_0100_V.JPG
D000318,DLM,KEEP,True,DJI_20260826094118_0100_V.JPG
D000319,DLM,KEEP,True,DJI_20260826094118_0100_V.JPG
D000320,DLM,KEEP,True,DJI_20260826094118_0100_V.JPG
D000321,DLM,KEEP,True,DJI_20260826094118_0100_V.JPG
D000322,DLM,KEEP,True,DJI_20260826094118_0100_V.JPG
D000323,DLM,KEEP,True,DJI_20260826094118_0100_V.JPG
D000324,SPL,KEEP,True,DJI_20260826094118_0100_V.JPG
D000329,SPL,KEEP,True,DJI_20260826094118_0100_V.JPG
D000330,SPL,KEEP,True,DJI_20260826094118_0100_V.JPG
D000331,SPL,KEEP,True,DJI_20260826094118_0100_V.JPG
D000332,SPL,KEEP,True,DJI_20260826094118_0100_V.JPG
D000333,SPL,KEEP,True,DJI_20260826094118_0100_V.JPG
D000334,SPL,KEEP,True,DJI_20260826094118_0100_V.JPG
D000346,SPL,KEEP,True,DJI_20260826094118_0100_V.JPG
D000349,SPL,KEEP,True,DJI_20260826094118_0100_V.JPG
D000354,CRC,KEEP,True,DJI_20260826094549_0300_V.JPG
D000355,CRC,KEEP,True,DJI_20260826094549_0300_V.JPG
D000356,CRC,KEEP,True,DJI_20260826094549_0300_V.JPG
D000358,CRC,KEEP,True,DJI_20260826094549_0300_V.JPG
D000359,CRC,KEEP,True,DJI_20260826094549_0300_V.JPG
D000360,CRC,KEEP,True,DJI_20260826094549_0300_V.JPG
D000364,CRC,KEEP,True,DJI_20260826094549_0300_V.JPG
D000365,CRC,KEEP,True,DJI_20260826094549_0300_V.JPG
D000371,DLM,KEEP,True,DJI_20260826094549_0300_V.JPG
D000372,DLM,KEEP,True,DJI_20260826094549_0300_V.JPG
D000373,DLM,KEEP,True,DJI_20260826094549_0300_V.JPG
D000375,DLM,KEEP,True,DJI_20260826094549_0300_V.JPG
D000376,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000379,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000380,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000381,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000382,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000383,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000384,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000385,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000386,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000387,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000388,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000389,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000390,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000391,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000392,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000394,SPL,KEEP,True,DJI_20260826094549_0300_V.JPG
D000395,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000396,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000397,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000398,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000399,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000400,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000401,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000402,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000403,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000404,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000405,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000406,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000407,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000408,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000409,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000411,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000414,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000415,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000416,CRC,KEEP,True,DJI_20260826094700_0360_V.JPG
D000417,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000418,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000419,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000420,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000421,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000422,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000423,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000424,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000425,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000426,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000427,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000428,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000429,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000430,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000431,DLM,KEEP,True,DJI_20260826094700_0360_V.JPG
D000432,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000434,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000436,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000437,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000439,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000441,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000442,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000443,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000444,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000445,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000447,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000448,SPL,KEEP,True,DJI_20260826094700_0360_V.JPG
D000495,CRC,KEEP,True,DJI_20260826112900_0100_V.JPG
D000496,CRC,KEEP,True,DJI_20260826112900_0100_V.JPG
D000499,CRC,KEEP,True,DJI_20260826112900_0100_V.JPG
D000508,SPL,KEEP,True,DJI_20260826112900_0100_V.JPG
D000509,SPL,KEEP,True,DJI_20260826112900_0100_V.JPG
D000510,CRC,KEEP,True,DJI_20260826114456_1000_V.JPG
D000514,CRC,KEEP,True,DJI_20260826114456_1000_V.JPG
D000515,CRC,KEEP,True,DJI_20260826114456_1000_V.JPG
D000516,CRC,KEEP,True,DJI_20260826114456_1000_V.JPG
D000517,SPL,KEEP,True,DJI_20260826114456_1000_V.JPG
D000518,SPL,KEEP,True,DJI_20260826114456_1000_V.JPG
D000519,SPL,KEEP,True,DJI_20260826114456_1000_V.JPG
D000520,SPL,KEEP,True,DJI_20260826114456_1000_V.JPG
D000523,CRC,KEEP,True,DJI_20260826120100_0500_V.JPG
D000524,CRC,KEEP,True,DJI_20260826120100_0500_V.JPG
D000526,CRC,KEEP,True,DJI_20260826120100_0500_V.JPG
D000527,CRC,KEEP,True,DJI_20260826120100_0500_V.JPG
D000528,CRC,KEEP,True,DJI_20260826120100_0500_V.JPG
D000529,CRC,KEEP,True,DJI_20260826120100_0500_V.JPG
D000530,CRC,KEEP,True,DJI_20260826120100_0500_V.JPG
D000533,SPL,KEEP,True,DJI_20260826120100_0500_V.JPG
D000534,SPL,KEEP,True,DJI_20260826120100_0500_V.JPG
D000535,SPL,KEEP,True,DJI_20260826120100_0500_V.JPG
D000536,SPL,KEEP,True,DJI_20260826120100_0500_V.JPG
D000539,SPL,KEEP,True,DJI_20260826120100_0500_V.JPG
D000543,CRC,KEEP,True,DJI_20260826120256_0600_V.JPG
D000544,CRC,KEEP,True,DJI_20260826120256_0600_V.JPG
D000551,CRC,KEEP,True,DJI_20260826120256_0600_V.JPG
D000555,CRC,KEEP,True,DJI_20260826120256_0600_V.JPG
D000556,CRC,KEEP,True,DJI_20260826120256_0600_V.JPG
D000557,CRC,KEEP,True,DJI_20260826120256_0600_V.JPG
D000558,CRC,KEEP,True,DJI_20260826120256_0600_V.JPG
D000575,SPL,KEEP,True,DJI_20260826120256_0600_V.JPG
D000580,SPL,KEEP,True,DJI_20260826120256_0600_V.JPG
D000584,CRC,KEEP,True,DJI_20260826124557_0200_V.JPG
D000592,DLM,KEEP,True,DJI_20260826124557_0200_V.JPG
D000593,DLM,KEEP,True,DJI_20260826124557_0200_V.JPG
D000594,SPL,KEEP,True,DJI_20260826124557_0200_V.JPG
D000595,SPL,KEEP,True,DJI_20260826124557_0200_V.JPG
D000596,SPL,KEEP,True,DJI_20260826124557_0200_V.JPG
D000597,SPL,KEEP,True,DJI_20260826124557_0200_V.JPG
D000598,SPL,KEEP,True,DJI_20260826124557_0200_V.JPG
D000600,SPL,KEEP,True,DJI_20260826124557_0200_V.JPG
D000601,CRC,KEEP,True,DJI_20260826125854_0900_V.JPG
D000605,DLM,KEEP,True,DJI_20260826125854_0900_V.JPG
D000606,DLM,KEEP,True,DJI_20260826125854_0900_V.JPG
D000607,DLM,KEEP,True,DJI_20260826125854_0900_V.JPG
D000608,DLM,KEEP,True,DJI_20260826125854_0900_V.JPG
D000609,DLM,KEEP,True,DJI_20260826125854_0900_V.JPG
D000610,DLM,KEEP,True,DJI_20260826125854_0900_V.JPG
D000611,DLM,KEEP,True,DJI_20260826125854_0900_V.JPG
D000613,SPL,KEEP,True,DJI_20260826125854_0900_V.JPG
D000621,SPL,KEEP,True,DJI_20260826125854_0900_V.JPG
D000623,SPL,KEEP,True,DJI_20260826125854_0900_V.JPG
D000625,SPL,KEEP,True,DJI_20260826125854_0900_V.JPG
D000626,SPL,KEEP,True,DJI_20260826125854_0900_V.JPG
