damage_type,xyz_valid,status,count,publish_count
CRC,True,UNREVIEWED,0,0
CRC,True,KEEP,78,78
CRC,True,EXCLUDE,227,0
CRC,True,MAYBE,0,0
CRC,False,UNREVIEWED,7,0
CRC,False,KEEP,0,0
CRC,False,EXCLUDE,0,0
CRC,False,MAYBE,0,0
DLM,True,UNREVIEWED,0,0
DLM,True,KEEP,57,57
DLM,True,EXCLUDE,18,0
DLM,True,MAYBE,0,0
DLM,False,UNREVIEWED,11,0
DLM,False,KEEP,0,0
DLM,False,EXCLUDE,0,0
DLM,False,MAYBE,0,0
SPL,True,UNREVIEWED,0,0
SPL,True,KEEP,96,96
SPL,True,EXCLUDE,112,0
SPL,True,MAYBE,0,0
SPL,False,UNREVIEWED,23,0
SPL,False,KEEP,0,0
SPL,False,EXCLUDE,0,0
SPL,False,MAYBE,0,0
