damage_id,damage_type,status,xyz_valid,image
D000454,CRC,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000455,CRC,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000456,CRC,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000457,CRC,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000458,DLM,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000459,DLM,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000460,DLM,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000461,DLM,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000462,DLM,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000463,DLM,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000464,DLM,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000465,DLM,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000466,DLM,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000467,DLM,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000468,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000469,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000470,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000471,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000472,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000473,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000474,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000475,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000476,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000477,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000478,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000479,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000480,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000481,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000482,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000483,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000484,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000485,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000486,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000487,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000488,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000489,SPL,UNREVIEWED,False,DJI_20260826102236_0200_V.JPG
D000490,CRC,UNREVIEWED,False,DJI_20260826102412_0300_V.JPG
D000491,CRC,UNREVIEWED,False,DJI_20260826102412_0300_V.JPG
D000492,CRC,UNREVIEWED,False,DJI_20260826102412_0300_V.JPG
D000493,SPL,UNREVIEWED,False,DJI_20260826102412_0300_V.JPG
D000494,DLM,UNREVIEWED,False,DJI_20260826102412_0300_V.JPG
