image,damage_id,damage_type,damage_name_ko,pixel_nodes_json,world_center_x_m,world_center_y_m,world_center_z_m,length_px,length_m,width_px,width_m,area_m2,source_image_path,tile_original_paths_json,tile_overlay_paths_json
DJI_20250702150745_0300_V.JPG,D000001,CRC,균열,"[[997.0,148.5],[996.0,148.5],[995.0,148.5],[994.0,148.5],[993.0,148.5],[992.0,148.5],[991.0,148.5],[990.0,148.5],[989.0,148.5],[988.0,148.5],[987.0,148.5],[986.0,148.5],[985.0,148.5],[984.0,148.5],[983.0,148.5],[982.0,148.5],[981.0,148.5],[980.0,148.5],[979.0,148.5],[978.0,148.5],[977.0,148.5],[976.0,148.5],[975.0,148.5],[974.0,148.5],[973.0,148.5],[972.0,148.5],[971.5,148.0],[972.0,147.5],[973.0,147.5],[974.0,147.5],[975.0,147.5],[976.0,147.5],[977.0,147.5],[978.0,147.5],[979.0,147.5],[980.0,147.5],[981.0,147.5],[982.0,147.5],[983.0,147.5],[984.0,147.5],[985.0,147.5],[986.0,147.5],[987.0,147.5],[988.0,147.5],[989.0,147.5],[990.0,147.5],[991.0,147.5],[992.0,147.5],[993.0,147.5],[994.0,147.5],[995.0,147.5],[996.0,147.5],[997.0,147.5],[997.5,148.0],[997.0,148.5]]",243083.08659744,431111.06099701,80.10286474,126.356632,0.66184848,6.37662,0.03879219,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x00512_y00000.png"",""512원본타일/DJI_20250702150745_0300_V__x01024_y00000.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x00512_y00000.png"",""512라벨오버레이/DJI_20250702150745_0300_V__x01024_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000004,CRC,균열,"[[2552.0,699.5],[2551.5,699.0],[2551.5,698.0],[2551.5,697.0],[2551.5,696.0],[2551.5,695.0],[2551.5,694.0],[2551.5,693.0],[2551.5,692.0],[2551.5,691.0],[2551.5,690.0],[2551.5,689.0],[2551.5,688.0],[2551.5,687.0],[2551.5,686.0],[2551.5,685.0],[2551.5,684.0],[2551.5,683.0],[2551.5,682.0],[2551.5,681.0],[2551.5,680.0],[2552.0,679.5],[2552.5,680.0],[2552.5,681.0],[2552.5,682.0],[2552.5,683.0],[2552.5,684.0],[2552.5,685.0],[2552.5,686.0],[2552.5,687.0],[2552.5,688.0],[2552.5,689.0],[2552.5,690.0],[2552.5,691.0],[2552.5,692.0],[2552.5,693.0],[2552.5,694.0],[2552.5,695.0],[2552.5,696.0],[2552.5,697.0],[2552.5,698.0],[2552.5,699.0],[2552.0,699.5]]",243092.29362488,431105.5066452,80.24168825,151.099372,2.31006404,7.51247,0.05677864,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y00512.png"",""512원본타일/DJI_20250702150745_0300_V__x02560_y00512.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x02048_y00512.png"",""512라벨오버레이/DJI_20250702150745_0300_V__x02560_y00512.png""]"
DJI_20250702150745_0300_V.JPG,D000005,CRC,균열,"[[2552.0,761.5],[2551.5,761.0],[2551.5,760.0],[2551.5,759.0],[2551.5,758.0],[2551.5,757.0],[2551.5,756.0],[2551.5,755.0],[2551.5,754.0],[2551.5,753.0],[2551.5,752.0],[2551.5,751.0],[2551.5,750.0],[2551.5,749.0],[2551.5,748.0],[2551.5,747.0],[2551.5,746.0],[2551.5,745.0],[2551.5,744.0],[2551.5,743.0],[2551.5,742.0],[2551.5,741.0],[2551.5,740.0],[2551.5,739.0],[2551.5,738.0],[2551.5,737.0],[2551.5,736.0],[2551.5,735.0],[2551.5,734.0],[2551.5,733.0],[2551.5,732.0],[2551.5,731.0],[2551.5,730.0],[2551.5,729.0],[2551.5,728.0],[2551.5,727.0],[2551.5,726.0],[2551.5,725.0],[2551.5,724.0],[2551.5,723.0],[2552.0,722.5],[2552.5,723.0],[2552.5,724.0],[2552.5,725.0],[2552.5,726.0],[2552.5,727.0],[2552.5,728.0],[2552.5,729.0],[2552.5,730.0],[2552.5,731.0],[2552.5,732.0],[2552.5,733.0],[2552.5,734.0],[2552.5,735.0],[2552.5,736.0],[2552.5,737.0],[2552.5,738.0],[2552.5,739.0],[2552.5,740.0],[2552.5,741.0],[2552.5,742.0],[2552.5,743.0],[2552.5,744.0],[2552.5,745.0],[2552.5,746.0],[2552.5,747.0],[2552.5,748.0],[2552.5,749.0],[2552.5,750.0],[2552.5,751.0],[2552.5,752.0],[2552.5,753.0],[2552.5,754.0],[2552.5,755.0],[2552.5,756.0],[2552.5,757.0],[2552.5,758.0],[2552.5,759.0],[2552.5,760.0],[2552.5,761.0],[2552.0,761.5]]",243091.05170441,431105.13913727,78.86664247,112.009106,1.56068469,4.830281,0.03368544,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y00512.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x02048_y00512.png""]"
DJI_20250702150745_0300_V.JPG,D000006,CRC,균열,"[[4302.0,798.5],[4301.0,798.5],[4300.0,798.5],[4299.0,798.5],[4298.0,798.5],[4297.0,798.5],[4296.0,798.5],[4295.0,798.5],[4294.0,798.5],[4293.0,798.5],[4292.0,798.5],[4291.0,798.5],[4290.0,798.5],[4289.0,798.5],[4288.0,798.5],[4287.0,798.5],[4286.0,798.5],[4285.0,798.5],[4284.0,798.5],[4283.0,798.5],[4282.0,798.5],[4281.5,798.0],[4282.0,797.5],[4283.0,797.5],[4284.0,797.5],[4285.0,797.5],[4286.0,797.5],[4287.0,797.5],[4288.0,797.5],[4289.0,797.5],[4290.0,797.5],[4291.0,797.5],[4292.0,797.5],[4293.0,797.5],[4294.0,797.5],[4295.0,797.5],[4296.0,797.5],[4297.0,797.5],[4298.0,797.5],[4299.0,797.5],[4300.0,797.5],[4301.0,797.5],[4302.0,797.5],[4302.5,798.0],[4302.0,798.5]]",243080.4749279,431095.61896515,74.41637659,118.735373,0.42878809,19.006578,0.06494252,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x04096_y00512.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x04096_y00512.png""]"
DJI_20250702150745_0300_V.JPG,D000007,CRC,균열,"[[2547.0,916.5],[2546.5,916.0],[2546.5,915.0],[2546.5,914.0],[2546.5,913.0],[2546.5,912.0],[2546.5,911.0],[2546.5,910.0],[2546.5,909.0],[2546.5,908.0],[2546.5,907.0],[2546.5,906.0],[2546.5,905.0],[2546.5,904.0],[2546.5,903.0],[2546.5,902.0],[2547.0,901.5],[2547.5,902.0],[2547.5,903.0],[2547.5,904.0],[2547.5,905.0],[2547.5,906.0],[2547.5,907.0],[2547.5,908.0],[2547.5,909.0],[2547.5,910.0],[2547.5,911.0],[2547.5,912.0],[2547.5,913.0],[2547.5,914.0],[2547.5,915.0],[2547.5,916.0],[2547.0,916.5]]",243090.10210609,431104.89740753,77.8033576,111.125443,1.45915502,6.20546,0.04105166,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y00512.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x02048_y00512.png""]"
DJI_20250702150745_0300_V.JPG,D000013,CRC,균열,"[[2532.0,1122.5],[2531.5,1122.0],[2531.5,1121.0],[2531.5,1120.0],[2531.5,1119.0],[2531.5,1118.0],[2531.5,1117.0],[2531.5,1116.0],[2531.5,1115.0],[2531.5,1114.0],[2531.5,1113.0],[2531.5,1112.0],[2531.5,1111.0],[2531.5,1110.0],[2531.5,1109.0],[2531.5,1108.0],[2531.5,1107.0],[2531.5,1106.0],[2531.5,1105.0],[2531.5,1104.0],[2531.5,1103.0],[2531.5,1102.0],[2531.5,1101.0],[2531.5,1100.0],[2531.5,1099.0],[2531.5,1098.0],[2531.5,1097.0],[2531.5,1096.0],[2531.5,1095.0],[2531.5,1094.0],[2531.5,1093.0],[2531.5,1092.0],[2531.5,1091.0],[2531.5,1090.0],[2531.5,1089.0],[2531.5,1088.0],[2531.5,1087.0],[2531.5,1086.0],[2531.5,1085.0],[2531.5,1084.0],[2531.5,1083.0],[2531.5,1082.0],[2531.5,1081.0],[2531.5,1080.0],[2531.5,1079.0],[2531.5,1078.0],[2531.5,1077.0],[2531.5,1076.0],[2532.0,1075.5],[2532.5,1076.0],[2532.5,1077.0],[2532.5,1078.0],[2532.5,1079.0],[2532.5,1080.0],[2532.5,1081.0],[2532.5,1082.0],[2532.5,1083.0],[2532.5,1084.0],[2532.5,1085.0],[2532.5,1086.0],[2532.5,1087.0],[2532.5,1088.0],[2532.5,1089.0],[2532.5,1090.0],[2532.5,1091.0],[2532.5,1092.0],[2532.5,1093.0],[2532.5,1094.0],[2532.5,1095.0],[2532.5,1096.0],[2532.5,1097.0],[2532.5,1098.0],[2532.5,1099.0],[2532.5,1100.0],[2532.5,1101.0],[2532.5,1102.0],[2532.5,1103.0],[2532.5,1104.0],[2532.5,1105.0],[2532.5,1106.0],[2532.5,1107.0],[2532.5,1108.0],[2532.5,1109.0],[2532.5,1110.0],[2532.5,1111.0],[2532.5,1112.0],[2532.5,1113.0],[2532.5,1114.0],[2532.5,1115.0],[2532.5,1116.0],[2532.5,1117.0],[2532.5,1118.0],[2532.5,1119.0],[2532.5,1120.0],[2532.5,1121.0],[2532.5,1122.0],[2532.0,1122.5]]",243088.46045494,431104.43816376,75.87862492,145.304242,1.38861978,6.172232,0.03802107,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y01024.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x02048_y01024.png""]"
DJI_20250702150745_0300_V.JPG,D000016,CRC,균열,"[[2512.0,1352.5],[2511.5,1352.0],[2511.5,1351.0],[2511.5,1350.0],[2511.5,1349.0],[2511.5,1348.0],[2511.5,1347.0],[2511.5,1346.0],[2511.5,1345.0],[2511.5,1344.0],[2511.5,1343.0],[2511.5,1342.0],[2511.5,1341.0],[2511.5,1340.0],[2511.5,1339.0],[2511.5,1338.0],[2511.5,1337.0],[2511.5,1336.0],[2511.5,1335.0],[2511.5,1334.0],[2512.0,1333.5],[2512.5,1334.0],[2512.5,1335.0],[2512.5,1336.0],[2512.5,1337.0],[2512.5,1338.0],[2512.5,1339.0],[2512.5,1340.0],[2512.5,1341.0],[2512.5,1342.0],[2512.5,1343.0],[2512.5,1344.0],[2512.5,1345.0],[2512.5,1346.0],[2512.5,1347.0],[2512.5,1348.0],[2512.5,1349.0],[2512.5,1350.0],[2512.5,1351.0],[2512.5,1352.0],[2512.0,1352.5]]",243087.10788727,431104.11820221,74.16414237,66.319228,0.52388141,2.864603,0.01689689,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y01024.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x02048_y01024.png""]"
DJI_20250702150745_0300_V.JPG,D000032,CRC,균열,"[[4754.0,1709.5],[4753.0,1709.5],[4752.0,1709.5],[4751.0,1709.5],[4750.0,1709.5],[4749.0,1709.5],[4748.0,1709.5],[4747.0,1709.5],[4746.0,1709.5],[4745.0,1709.5],[4744.0,1709.5],[4743.0,1709.5],[4742.0,1709.5],[4741.0,1709.5],[4740.0,1709.5],[4739.0,1709.5],[4738.0,1709.5],[4737.0,1709.5],[4736.0,1709.5],[4735.0,1709.5],[4734.0,1709.5],[4733.0,1709.5],[4732.0,1709.5],[4731.0,1709.5],[4730.5,1709.0],[4731.0,1708.5],[4732.0,1708.5],[4733.0,1708.5],[4734.0,1708.5],[4735.0,1708.5],[4736.0,1708.5],[4737.0,1708.5],[4738.0,1708.5],[4739.0,1708.5],[4740.0,1708.5],[4741.0,1708.5],[4742.0,1708.5],[4743.0,1708.5],[4744.0,1708.5],[4745.0,1708.5],[4746.0,1708.5],[4747.0,1708.5],[4748.0,1708.5],[4749.0,1708.5],[4750.0,1708.5],[4751.0,1708.5],[4752.0,1708.5],[4753.0,1708.5],[4754.0,1708.5],[4754.5,1709.0],[4754.0,1709.5]]",243077.9071064,431094.72881317,71.11050606,109.709245,0.31590326,5.391203,0.01456532,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x04608_y01536.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x04608_y01536.png""]"
DJI_20250702150745_0300_V.JPG,D000047,CRC,균열,"[[2479.0,2820.5],[2478.5,2820.0],[2478.5,2819.0],[2478.5,2818.0],[2478.5,2817.0],[2478.5,2816.0],[2478.5,2815.0],[2478.5,2814.0],[2478.5,2813.0],[2478.5,2812.0],[2478.5,2811.0],[2478.5,2810.0],[2478.5,2809.0],[2478.5,2808.0],[2478.5,2807.0],[2478.5,2806.0],[2478.5,2805.0],[2478.5,2804.0],[2478.5,2803.0],[2478.5,2802.0],[2478.5,2801.0],[2478.5,2800.0],[2478.5,2799.0],[2478.5,2798.0],[2478.5,2797.0],[2478.5,2796.0],[2478.5,2795.0],[2478.5,2794.0],[2478.5,2793.0],[2479.0,2792.5]]",243081.85027122,431102.53320312,66.74898624,144.831623,0.64285908,15.480933,0.06707675,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y02560.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x02048_y02560.png""]"
DJI_20250702150745_0300_V.JPG,D000048,CRC,균열,"[[5243.0,2965.5],[5242.0,2965.5],[5241.0,2965.5],[5240.0,2965.5],[5239.0,2965.5],[5238.0,2965.5],[5237.0,2965.5],[5236.0,2965.5],[5235.0,2965.5],[5234.0,2965.5],[5233.0,2965.5],[5232.0,2965.5],[5231.0,2965.5],[5230.5,2965.0],[5231.0,2964.5],[5232.0,2964.5],[5233.0,2964.5],[5234.0,2964.5],[5235.0,2964.5],[5236.0,2964.5],[5237.0,2964.5],[5238.0,2964.5],[5239.0,2964.5],[5240.0,2964.5],[5241.0,2964.5],[5242.0,2964.5],[5243.0,2964.5],[5243.5,2965.0],[5243.0,2965.5]]",243075.61649513,431094.3521347,68.38298511,71.351008,0.13943119,30.243808,0.05523821,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y02560.png""]","[""512라벨오버레이/DJI_20250702150745_0300_V__x05120_y02560.png""]"
