image,damage_id,damage_type,damage_name_ko,pixel_nodes_json,world_center_x_m,world_center_y_m,world_center_z_m,length_px,length_m,width_px,width_m,area_m2,source_image_path,tile_original_paths_json,tile_overlay_paths_json
DJI_20250702150745_0300_V.JPG,D000001,CRC,균열,"[[3470.0,0.5],[3469.5,1.0],[3469.5,2.0],[3469.0,2.5],[3468.5,3.0],[3468.0,3.5],[3467.5,4.0],[3467.5,5.0],[3467.0,5.5],[3466.5,6.0],[3466.0,7.5],[3465.5,8.0],[3465.0,8.5],[3464.5,9.0],[3464.0,9.5],[3463.5,10.0],[3463.5,11.0],[3463.5,12.0],[3463.5,13.0],[3463.0,13.5],[3462.5,15.0],[3462.5,16.0],[3462.5,17.0],[3462.5,18.0],[3462.5,19.0],[3462.0,19.5],[3461.5,20.0],[3461.0,20.5],[3460.5,21.0],[3460.5,22.0],[3460.5,24.0],[3460.0,24.5],[3459.5,25.0],[3459.5,26.0],[3459.0,26.5],[3458.5,27.0],[3458.0,27.5],[3457.5,28.0],[3457.5,29.0],[3457.0,29.5],[3456.5,31.0],[3456.5,32.0],[3456.5,33.0],[3456.5,34.0],[3456.0,34.5],[3455.5,35.0],[3455.5,36.0],[3455.5,37.0],[3455.5,38.0],[3455.0,38.5],[3454.5,40.0],[3454.0,40.5],[3453.5,41.0],[3453.5,42.0],[3453.0,42.5],[3452.5,43.0],[3452.5,44.0],[3452.5,45.0],[3452.5,46.0],[3452.0,47.5],[3451.5,48.0],[3451.0,48.5],[3450.5,49.0],[3450.5,50.0],[3450.0,50.5],[3449.5,51.0],[3449.5,52.0],[3449.5,53.0],[3449.0,53.5],[3448.5,55.0],[3448.0,55.5],[3447.5,56.0],[3447.0,56.5],[3446.5,57.0],[3446.5,58.0],[3446.5,59.0],[3446.0,59.5],[3445.5,60.0],[3445.5,61.0],[3445.0,62.5],[3444.5,63.0],[3444.0,63.5],[3443.5,64.0],[3443.5,65.0],[3443.5,66.0],[3443.0,66.5],[3442.5,67.0],[3442.5,68.0],[3442.5,69.0],[3441.5,70.0],[3441.5,71.0],[3441.0,71.5],[3440.5,72.0],[3440.5,73.0],[3440.0,73.5],[3439.5,74.0],[3439.5,75.0],[3439.5,76.0],[3439.0,76.5],[3438.5,78.0],[3438.5,79.0],[3438.5,80.0],[3438.0,80.5],[3437.5,81.0],[3437.5,82.0],[3437.0,82.5],[3436.5,83.0],[3436.5,84.0],[3435.5,85.0],[3435.5,86.0],[3435.5,87.0],[3435.5,88.0],[3435.5,89.0],[3435.0,89.5],[3434.5,90.0],[3434.5,91.0],[3434.5,92.0],[3434.5,93.0],[3433.5,94.0],[3433.5,95.0],[3433.0,95.5],[3432.5,96.0],[3432.5,97.0],[3432.0,97.5],[3431.5,98.0],[3431.0,98.5],[3430.5,99.0],[3430.0,99.5],[3429.5,101.0],[3429.5,102.0],[3429.0,102.5],[3428.5,103.0],[3428.5,104.0],[3428.0,104.5],[3427.5,105.0],[3427.5,106.0],[3427.5,107.0],[3427.0,107.5],[3426.5,109.0],[3426.0,109.5],[3425.5,110.0],[3425.5,111.0],[3425.0,111.5],[3424.5,112.0],[3424.5,113.0],[3424.5,114.0],[3424.0,114.5],[3423.5,115.0],[3423.0,116.5],[3422.5,117.0],[3422.5,118.0],[3422.0,118.5],[3421.5,119.0],[3421.5,120.0],[3421.5,121.0],[3421.5,122.0],[3421.5,123.0],[3420.5,124.0],[3420.5,125.0],[3420.5,126.0],[3420.0,126.5],[3419.5,127.0],[3419.5,128.0],[3419.0,128.5],[3418.5,129.0],[3418.5,130.0],[3418.5,131.0],[3417.5,132.0],[3417.5,133.0],[3417.0,133.5],[3416.5,134.0],[3416.5,135.0],[3416.0,135.5],[3415.5,136.0],[3415.5,137.0],[3415.5,138.0],[3415.0,138.5],[3414.5,140.0],[3414.0,140.5],[3413.5,141.0],[3413.5,142.0],[3413.5,143.0],[3413.0,143.5],[3412.5,144.0],[3412.5,145.0],[3412.0,145.5],[3411.5,146.0],[3410.5,147.0],[3410.5,148.0],[3410.5,149.0],[3410.5,150.0],[3410.5,151.0],[3410.0,151.5],[3409.5,152.0],[3409.5,153.0],[3409.0,153.5],[3408.5,154.0],[3407.5,155.0],[3407.5,156.0],[3407.5,157.0],[3407.5,158.0],[3407.5,159.0],[3407.0,159.5],[3406.5,160.0],[3406.5,161.0],[3406.0,161.5],[3405.5,163.0],[3405.0,163.5],[3404.5,164.0],[3404.5,165.0],[3404.5,166.0],[3404.0,166.5],[3403.5,167.0],[3403.5,168.0],[3403.5,169.0],[3403.0,169.5],[3402.0,170.5],[3401.5,171.0],[3401.5,172.0],[3401.5,173.0],[3401.0,173.5],[3400.5,174.0],[3400.0,174.5],[3399.5,175.0],[3399.5,176.0],[3399.5,177.0],[3398.5,178.0],[3398.5,179.0],[3398.0,179.5],[3397.5,180.0],[3397.5,181.0],[3397.0,181.5],[3396.5,182.0],[3396.5,183.0],[3396.5,184.0],[3396.0,184.5],[3395.0,185.5],[3394.5,186.0],[3394.5,187.0],[3394.0,187.5],[3393.5,188.0],[3393.5,189.0],[3393.5,190.0],[3393.0,190.5],[3392.5,191.0],[3392.5,192.0],[3392.0,193.5],[3391.5,194.0],[3391.0,194.5],[3390.5,195.0],[3390.5,196.0],[3390.0,196.5],[3389.5,197.0],[3389.5,198.0],[3389.5,199.0],[3389.5,201.0]]",243087.73529434,431098.95936584,80.91932344,218.173974,1.08139951,6.862976,0.051325,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x03072_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x03072_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000002,CRC,균열,"[[3651.0,0.5],[3650.5,1.0],[3650.5,2.0],[3650.0,2.5],[3649.5,3.0],[3649.5,4.0],[3649.0,4.5],[3648.5,5.0],[3648.5,6.0],[3648.0,6.5],[3647.5,7.0],[3647.5,8.0],[3647.0,8.5],[3646.5,9.0],[3646.5,10.0],[3646.0,10.5],[3645.5,11.0],[3645.5,12.0],[3645.0,12.5],[3644.0,12.5],[3643.5,13.0],[3643.0,13.5],[3642.5,14.0],[3642.5,15.0],[3642.0,15.5],[3641.5,16.0],[3641.0,16.5],[3640.0,16.5],[3639.5,17.0],[3639.5,18.0],[3639.5,19.0],[3639.5,20.0],[3639.0,20.5],[3638.5,21.0],[3638.5,22.0],[3638.0,22.5],[3637.5,23.0],[3637.5,24.0],[3637.0,24.5],[3636.5,25.0],[3636.5,26.0],[3636.0,26.5],[3635.5,27.0],[3635.5,28.0],[3635.0,28.5],[3634.5,29.0],[3634.0,29.5],[3633.5,30.0],[3633.0,30.5],[3632.5,31.0],[3632.5,32.0],[3632.5,33.0],[3632.0,33.5],[3631.5,34.0],[3631.0,34.5],[3630.0,34.5],[3629.5,35.0],[3629.5,36.0],[3629.5,37.0],[3629.0,37.5],[3628.5,38.0],[3628.5,39.0],[3628.5,40.0],[3628.5,41.0],[3628.5,42.0],[3628.0,42.5],[3627.5,43.0],[3627.5,44.0],[3627.5,45.0],[3627.0,45.5],[3626.5,46.0],[3626.5,47.0],[3626.0,47.5],[3625.5,48.0],[3625.5,49.0],[3625.0,49.5],[3624.5,50.0],[3624.5,51.0],[3624.0,51.5],[3623.5,52.0],[3623.0,52.5],[3622.5,53.0],[3622.5,54.0],[3622.0,54.5],[3621.5,55.0],[3621.0,55.5],[3620.5,56.0],[3620.0,56.5],[3619.5,57.0],[3619.0,57.5],[3618.5,58.0],[3618.5,59.0],[3618.5,60.0],[3618.5,61.0],[3618.0,61.5],[3617.5,62.0],[3617.0,62.5],[3616.5,63.0],[3616.0,63.5],[3615.5,64.0],[3615.5,65.0],[3615.0,65.5],[3614.5,66.0],[3614.5,67.0],[3614.5,68.0],[3614.5,69.0],[3614.0,69.5],[3613.5,70.0],[3613.0,70.5],[3612.5,71.0],[3612.5,72.0],[3612.0,72.5],[3611.5,73.0],[3611.5,74.0],[3611.5,75.0],[3611.0,75.5],[3610.5,76.0],[3610.0,76.5],[3609.5,77.0],[3609.0,77.5],[3608.5,78.0],[3608.0,78.5],[3607.5,79.0],[3607.5,80.0],[3607.0,80.5],[3606.5,81.0],[3606.0,81.5],[3605.5,82.0],[3605.5,83.0],[3605.0,83.5],[3604.5,84.0],[3604.5,85.0],[3604.0,85.5],[3603.5,86.0],[3603.5,87.0],[3603.0,87.5],[3602.5,88.0],[3602.0,88.5],[3601.5,89.0],[3601.5,90.0],[3601.0,90.5],[3600.5,91.0],[3600.5,92.0],[3600.5,93.0],[3600.5,94.0],[3600.5,95.0],[3600.0,95.5],[3599.5,96.0],[3599.0,96.5],[3598.5,97.0],[3598.0,97.5],[3597.5,98.0],[3597.5,99.0],[3597.5,100.0],[3597.0,100.5],[3596.5,101.0],[3596.5,102.0],[3596.5,103.0],[3596.5,104.0],[3596.0,104.5],[3595.5,105.0],[3595.0,105.5],[3594.5,106.0],[3594.5,107.0],[3594.0,107.5],[3593.5,108.0],[3593.0,108.5],[3592.0,108.5],[3591.5,109.0],[3591.5,110.0],[3591.0,110.5],[3590.5,111.0],[3590.5,112.0],[3590.0,112.5],[3589.5,113.0],[3589.0,113.5],[3588.5,114.0],[3588.0,114.5],[3587.5,115.0],[3587.0,115.5],[3586.5,116.0],[3586.5,117.0],[3586.5,118.0],[3586.5,119.0],[3586.0,119.5],[3585.5,120.0],[3585.5,121.0],[3585.5,122.0],[3585.0,122.5],[3584.5,123.0],[3584.5,124.0]]",243084.87646294,431097.86526489,79.53237677,142.056804,0.58848498,6.740951,0.04385457,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x03584_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x03584_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000003,CRC,균열,"[[5139.0,0.5],[5138.0,0.5],[5137.0,0.5],[5136.0,0.5],[5135.0,0.5],[5134.0,0.5],[5133.0,0.5],[5132.0,0.5],[5131.0,0.5],[5130.0,0.5],[5129.0,0.5],[5128.0,0.5],[5127.0,0.5],[5126.0,0.5],[5125.0,0.5],[5124.0,0.5],[5123.5,1.0],[5123.0,1.5],[5122.0,1.5],[5121.5,2.0]]",243104.13079453,431085.58323669,87.91423607,20.0,0.17123379,3.0,0.05486268,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x05120_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000004,CRC,균열,"[[5164.5,7.0],[5165.0,7.5],[5166.0,7.5],[5167.0,7.5],[5167.5,8.0],[5168.0,8.5]]",243104.16395569,431085.29067993,87.81640816,7.0,0.06297605,3.0,0.06575607,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x05120_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000005,CRC,균열,"[[5188.0,9.0]]",243104.21434402,431085.09941101,87.80456161,1.0,0.00898067,1.0,0.0226674,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x05120_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000006,CRC,균열,"[[331.5,14.0],[332.0,14.5],[333.0,14.5],[334.0,14.5],[334.5,15.0],[335.0,15.5]]",243093.92121506,431127.85726166,88.92968941,5.533986,0.04235806,2.371708,0.02379707,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x00000_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x00000_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000007,CRC,균열,"[[338.5,18.0],[339.0,18.5],[340.0,18.5],[341.0,18.5],[341.5,19.0],[341.5,20.0],[341.5,21.0],[342.0,21.5],[342.5,22.0],[343.0,22.5],[344.0,22.5],[345.0,22.5],[345.5,23.0],[345.5,24.0],[346.0,24.5],[347.0,24.5],[347.5,25.0],[348.0,25.5]]",243094.00774956,431127.834198,88.89538193,15.202796,0.1200035,3.889087,0.05169365,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x00000_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x00000_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000008,CRC,균열,"[[509.5,156.0],[509.0,155.5],[508.5,155.0],[508.0,154.5],[507.5,154.0],[507.0,153.5],[506.0,153.5],[505.5,153.0],[505.0,152.5],[504.0,151.5],[503.5,151.0],[503.0,150.5],[502.5,150.0],[502.0,149.5],[501.0,149.5],[500.5,149.0],[500.0,148.5],[499.0,147.5],[498.5,147.0],[498.0,146.5],[497.0,146.5],[496.5,146.0],[496.0,145.5],[495.0,145.5],[494.0,145.5],[493.5,145.0],[492.5,144.0],[492.0,143.5],[491.5,143.0],[491.0,142.5],[490.0,142.5],[489.5,142.0],[489.5,141.0],[489.0,140.5],[487.5,140.0],[487.0,139.5],[486.0,139.5],[485.5,139.0],[485.0,138.5],[484.5,138.0],[484.5,137.0],[484.0,136.5],[483.5,136.0],[482.0,135.5],[481.0,135.5],[480.5,135.0],[480.0,134.5],[479.5,134.0],[479.0,133.5],[478.5,133.0],[478.0,132.5],[476.5,132.0],[476.0,131.5],[475.5,131.0],[475.0,130.5],[474.5,130.0],[474.0,129.5],[473.0,129.5],[472.5,129.0],[472.0,128.5],[470.5,128.0],[470.0,127.5],[469.5,127.0],[469.0,126.5],[468.0,126.5],[467.5,126.0],[467.0,125.5],[466.5,125.0],[465.0,124.5],[464.5,124.0],[464.0,123.5],[463.5,123.0],[463.0,122.5],[462.5,122.0],[462.0,121.5],[461.0,121.5],[460.5,121.0],[459.0,120.5],[458.5,120.0],[458.0,119.5],[457.0,119.5],[456.5,119.0],[456.0,118.5],[455.5,118.0],[455.0,117.5],[454.0,116.5],[453.5,116.0],[453.0,115.5],[452.0,115.5],[451.5,115.0],[451.0,114.5],[450.0,114.5],[449.5,114.0],[449.0,113.5],[448.5,112.0],[448.0,111.5],[447.0,111.5],[446.0,111.5],[445.5,111.0],[445.0,110.5],[444.0,110.5],[443.5,110.0],[442.5,109.0],[442.0,108.5],[441.5,108.0],[441.0,107.5],[440.5,107.0],[440.0,106.5],[439.5,106.0],[439.0,105.5],[438.5,105.0],[437.5,104.0],[437.0,103.5],[436.0,103.5],[435.5,103.0],[435.5,102.0],[435.0,101.5],[434.5,101.0],[434.0,100.5],[433.0,99.5],[432.5,99.0],[432.0,98.5],[431.5,98.0],[431.0,97.5],[430.5,97.0],[430.0,96.5],[429.0,96.5],[428.5,96.0],[428.0,94.5],[427.5,94.0],[427.0,93.5],[426.5,93.0],[426.0,92.5],[425.5,92.0],[425.0,91.5],[424.5,91.0],[423.5,90.0],[423.0,89.5],[422.0,89.5],[421.5,89.0],[421.5,88.0],[421.0,87.5],[420.5,87.0],[420.0,86.5],[419.5,86.0],[418.5,85.0],[418.0,84.5],[417.0,84.5],[416.5,84.0],[416.0,83.5],[415.0,83.5],[414.5,83.0],[414.0,82.5],[413.5,81.0],[413.0,80.5],[412.0,80.5],[411.5,80.0],[411.0,79.5],[410.5,79.0],[410.0,78.5],[409.5,78.0],[409.0,77.5],[408.0,76.5],[407.0,76.5],[406.5,76.0],[406.0,75.5],[405.5,75.0],[405.5,74.0],[405.0,73.5],[404.0,73.5],[403.0,72.5],[402.5,72.0],[402.0,71.5],[401.0,71.5],[400.5,71.0],[400.0,70.5],[399.5,70.0],[399.0,69.5],[398.5,69.0],[397.5,68.0],[397.0,67.5],[396.5,67.0],[396.0,66.5],[395.5,66.0],[395.0,65.5],[394.0,65.5],[393.5,65.0],[392.5,64.0],[392.0,63.5],[391.5,63.0],[391.0,62.5],[390.0,62.5],[389.5,62.0],[389.0,61.5],[388.5,61.0],[388.0,60.5],[387.0,59.5],[386.5,59.0],[386.0,58.5],[385.0,58.5],[384.5,58.0],[384.0,57.5],[383.5,57.0],[383.0,56.5],[382.0,55.5],[381.0,55.5],[380.5,55.0],[380.0,54.5],[379.0,54.5],[378.5,54.0],[378.5,53.0],[378.0,52.5],[377.5,52.0],[376.0,51.5],[375.5,51.0],[375.5,50.0],[375.0,49.5],[374.5,49.0],[374.0,48.5],[373.0,48.5],[372.5,48.0],[371.0,47.5],[370.5,47.0],[370.5,46.0],[370.0,45.5],[369.0,45.5],[368.5,45.0],[368.0,44.5],[367.0,44.5],[366.5,44.0],[365.5,43.0],[365.5,42.0],[365.0,41.5],[364.0,41.5],[363.0,41.5],[362.0,41.5],[361.5,41.0],[361.0,40.5],[359.5,40.0],[359.0,39.5],[358.5,39.0],[358.0,38.5],[357.5,38.0],[357.5,37.0],[357.0,36.5],[356.5,36.0],[356.0,35.5],[355.0,34.5],[354.0,34.5],[353.5,34.0],[353.0,33.5],[352.0,33.5],[351.5,33.0],[351.5,32.0],[351.0,31.5],[350.0,30.5]]",243094.58218002,431127.39507294,88.43735886,205.538919,1.54430153,9.453065,0.09936129,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x00000_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x00000_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000009,CRC,균열,"[[5213.5,29.0],[5214.0,29.5],[5215.0,29.5],[5216.0,29.5]]",243104.01507568,431084.96894073,87.49853897,4.0,0.03653308,2.0,0.03550571,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x05120_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000010,CRC,균열,"[[5258.0,40.0],[5259.0,40.0],[5260.0,40.0],[5261.0,40.0],[5262.0,40.0]]",243104.01281738,431084.62450409,87.35857201,5.0,0.04173337,1.0,0.019277,,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x05120_y00000.png""]"
