image,damage_id,damage_type,damage_name_ko,pixel_nodes_json,world_center_x_m,world_center_y_m,world_center_z_m,length_px,length_m,width_px,width_m,area_m2,source_image_path,tile_original_paths_json,tile_overlay_paths_json
DJI_20250702150745_0300_V.JPG,D000737,SPL,박락,"[[2048.0,0.0]]",243099.60012054,431113.00789642,89.74838638,,,,,9.6418e-05,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x02048_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000738,SPL,박락,"[[2559.0,0.0]]",243103.65138245,431109.09849548,91.25092697,,,,,0.0001187951,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x02048_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x02048_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000739,SPL,박락,"[[5050.0,0.0],[5051.0,0.0],[5052.0,0.0],[5053.0,0.0],[5054.0,0.0],[5055.0,0.0],[5056.0,0.0],[5057.0,0.0],[5058.0,0.0],[5059.0,0.0],[5060.0,0.0],[5061.0,0.0],[5062.0,0.0],[5063.0,0.0],[5064.0,0.0],[5065.0,0.0],[5066.0,0.0],[5067.0,0.0],[5068.0,0.0],[5069.0,0.0],[5070.0,0.0],[5071.0,0.0],[5072.0,0.0],[5073.0,0.0],[5074.0,0.0],[5075.0,0.0],[5076.0,0.0],[5077.0,0.0]]",243103.9139061,431086.14756012,87.88792038,,,,,0.0053561434,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x04608_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x04608_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000740,SPL,박락,"[[5086.0,0.0],[5087.0,0.0],[5088.0,0.0],[5089.0,0.0],[5090.0,0.0],[5091.0,0.0],[5092.0,0.0],[5093.0,0.0],[5094.0,0.0],[5095.0,0.0]]",243104.02158737,431085.90794373,87.90716743,,,,,0.0018752953,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x04608_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x04608_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000741,SPL,박락,"[[5197.5,13.0],[5197.0,12.5],[5196.5,12.0],[5196.5,11.0],[5196.5,10.0],[5196.5,9.0],[5197.0,8.5],[5197.5,8.0],[5197.5,7.0],[5197.5,6.0],[5197.5,5.0],[5197.0,4.5],[5196.5,4.0],[5196.0,3.5],[5195.0,3.5],[5194.0,3.5],[5193.0,3.5],[5192.0,3.5],[5191.0,3.5],[5190.0,3.5],[5189.0,3.5],[5188.5,4.0],[5188.0,4.5],[5187.0,4.5],[5186.5,5.0],[5186.5,6.0],[5187.0,6.5],[5188.0,6.5],[5189.0,6.5],[5189.5,7.0],[5190.0,7.5],[5191.0,7.5],[5191.5,8.0],[5192.0,8.5],[5192.5,9.0],[5192.0,9.5],[5191.5,10.0],[5191.0,10.5],[5190.5,11.0],[5190.0,11.5],[5189.0,11.5],[5188.0,11.5],[5187.0,11.5],[5186.5,11.0],[5186.0,10.5],[5185.0,10.5],[5184.0,10.5],[5183.5,10.0],[5183.0,9.5],[5182.5,9.0],[5182.5,8.0],[5182.5,7.0],[5182.5,6.0],[5182.5,5.0],[5182.0,4.5],[5181.0,4.5],[5180.5,4.0],[5180.0,3.5],[5179.0,3.5],[5178.0,3.5],[5177.5,3.0],[5177.0,2.5],[5176.5,2.0],[5176.0,1.5],[5175.0,1.5],[5174.0,1.5],[5173.0,1.5],[5172.0,1.5],[5171.5,2.0],[5171.0,2.5],[5170.5,2.0],[5170.0,1.5],[5169.0,1.5],[5168.0,1.5],[5167.0,1.5],[5166.0,1.5],[5165.5,1.0],[5165.0,0.5],[5164.0,0.5],[5163.0,0.5],[5162.0,0.5],[5161.0,0.5],[5160.0,0.5],[5159.0,0.5],[5158.0,0.5],[5157.5,1.0],[5157.0,1.5],[5156.0,1.5],[5155.0,1.5],[5154.0,1.5],[5153.0,1.5],[5152.0,1.5],[5151.0,1.5],[5150.0,1.5],[5149.0,1.5],[5148.5,2.0],[5148.5,3.0],[5148.0,3.5],[5147.5,4.0],[5147.0,4.5],[5146.0,4.5],[5145.5,5.0],[5145.0,5.5],[5144.0,5.5],[5143.0,5.5],[5142.0,5.5],[5141.5,5.0],[5141.0,4.5],[5140.0,4.5],[5139.5,4.0],[5139.0,3.5],[5138.0,3.5],[5137.0,3.5],[5136.0,3.5],[5135.0,3.5],[5134.0,3.5],[5133.5,3.0],[5133.0,2.5],[5132.0,2.5],[5131.0,2.5],[5130.0,2.5],[5129.5,3.0],[5129.0,3.5],[5128.5,3.0],[5128.0,2.5],[5127.0,2.5],[5126.0,2.5],[5125.0,2.5],[5124.0,2.5],[5123.5,3.0],[5123.0,3.5],[5122.0,3.5],[5121.0,3.5],[5120.0,3.5],[5119.5,4.0],[5119.5,5.0],[5119.5,6.0],[5119.0,6.5],[5118.5,6.0],[5118.0,5.5],[5117.5,5.0],[5117.0,4.5],[5116.5,4.0],[5116.0,3.5],[5115.5,3.0],[5115.0,2.5],[5114.0,2.5],[5113.0,2.5],[5112.0,2.5],[5111.0,2.5],[5110.0,2.5],[5109.0,2.5],[5108.0,2.5],[5107.0,2.5],[5106.0,2.5],[5105.0,2.5],[5104.5,2.0],[5104.0,1.5],[5103.0,1.5],[5102.0,1.5],[5101.5,1.0],[5101.0,0.5],[5100.0,0.5],[5099.0,0.5],[5098.0,0.5],[5097.0,0.5]]",243104.31629562,431085.03543854,87.90034866,,,,,0.1375689143,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y00000.png"",""512원본타일/DJI_20250702150745_0300_V__x04608_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x05120_y00000.png"",""512모델예측오버레이/DJI_20250702150745_0300_V__x04608_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000742,SPL,박락,"[[5263.0,8.5],[5264.0,8.5],[5264.5,8.0]]",243104.46543503,431084.43121338,87.83263016,,,,,0.001065713,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x05120_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000743,SPL,박락,"[[5120.0,9.0]]",243104.00355911,431085.68450928,87.78466797,,,,,0.0001609693,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x05120_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000744,SPL,박락,"[[5253.5,10.0],[5253.0,9.5]]",243104.42215347,431084.52172089,87.82404709,,,,,0.0020503736,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x05120_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000745,SPL,박락,"[[5121.0,16.5],[5120.5,17.0],[5120.5,18.0]]",243103.91459656,431085.71255493,87.68167686,,,,,0.0008126502,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x05120_y00000.png""]"
DJI_20250702150745_0300_V.JPG,D000746,SPL,박락,"[[5245.0,129.5],[5244.5,130.0],[5244.5,131.0],[5244.0,131.5],[5243.5,132.0],[5243.0,132.5],[5242.0,132.5],[5241.5,133.0]]",243102.80857849,431085.16143799,86.06823921,,,,,0.0039916655,원본사진/DJI_20250702150745_0300_V.JPG,"[""512원본타일/DJI_20250702150745_0300_V__x05120_y00000.png""]","[""512모델예측오버레이/DJI_20250702150745_0300_V__x05120_y00000.png""]"
